ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
8011.T,JP,JPY,3825.0,-0.52,-0.15,-3.77,-6.96,13.08,44.04,4584.01,2510.04,-16.56,41.5,0.49,3963.25,4068.12,3545.64,2,8011.T
4234.T,JP,JPY,759.0,-0.78,-5.4,1.47,-8.01,33.59,34.68,1012.81,526.58,-25.06,54.8,0.53,753.95,788.68,687.26,2,4234.T
7997.T,JP,JPY,964.0,-0.31,0.84,0.42,1.37,-0.35,25.79,1150.0,682.27,-16.17,43.8,0.22,972.9,968.16,931.12,2,7997.T
5834.T,JP,JPY,2711.0,-0.99,-0.65,3.08,-4.91,13.21,89.53,3302.79,1430.39,-17.92,59.6,0.99,2707.4,2802.86,2536.92,2,5834.T
6137.T,JP,JPY,1847.0,1.76,13.28,-6.62,-3.87,37.09,75.01,2291.39,1055.39,-19.39,42.6,0.98,1880.7,1978.07,1592.03,2,6137.T
8226.T,JP,JPY,497.0,-0.6,10.81,2.69,-3.78,3.74,39.28,608.2,343.04,-18.28,54.5,1.16,482.15,505.83,454.65,2,8226.T
4977.T,JP,JPY,1204.0,0.67,-0.61,-2.51,-6.11,24.02,53.73,1451.84,757.88,-17.07,48.3,0.8,1213.15,1289.93,1106.66,2,4977.T
5101.T,JP,JPY,6313.0,-1.51,4.69,1.89,-1.28,17.09,112.02,7982.0,2977.59,-20.91,53.0,0.56,6268.7,6544.62,5780.04,2,5101.T
4205.T,JP,JPY,1742.0,0.4,-2.12,-2.95,-9.96,7.95,32.42,2098.91,1315.46,-17.0,45.0,0.96,1788.78,1864.7,1714.2,2,4205.T
4188.T,JP,JPY,911.4000244140625,-0.58,-0.24,-1.6,-9.41,11.04,40.56,1140.79,648.4,-20.11,48.8,0.53,950.83,986.09,883.5,2,4188.T
6016.T,JP,JPY,12660.0,0.16,1.2,-7.01,-7.55,12.68,335.67,15634.21,2905.88,-19.02,44.5,0.52,12634.0,13331.87,11687.62,2,6016.T
4310.T,JP,JPY,2505.0,-1.76,2.04,-9.01,-5.92,-0.32,-10.65,3229.3,2140.48,-22.43,47.9,0.69,2565.4,2702.65,2498.28,2,4310.T
7084.T,JP,JPY,2886.0,-0.99,-1.32,-9.88,-5.22,20.53,131.2,3527.68,1230.85,-18.19,59.8,0.51,2910.5,2992.27,2598.48,2,7084.T
4264.T,JP,JPY,1641.0,-2.44,12.24,-3.87,9.18,4.72,0.24,1965.0,1352.0,-16.49,40.4,1.04,1734.3,1768.14,1605.69,2,4264.T
9978.T,JP,JPY,47.0,-4.08,-6.0,-2.08,-7.84,2.17,-4.08,66.0,46.0,-28.79,50.0,3.16,47.65,48.62,51.65,2,9978.T
5471.T,JP,JPY,1830.0,-0.35,14.93,-5.65,-8.66,40.51,77.53,2351.27,922.32,-22.17,46.1,0.91,1879.65,1989.7,1556.7,2,5471.T
7942.T,JP,JPY,2333.0,-0.68,-3.42,-0.93,-7.51,25.46,26.43,2855.38,1727.27,-18.29,58.4,0.88,2379.05,2488.94,2167.05,2,7942.T
3932.T,JP,JPY,2808.0,0.14,5.72,-2.53,5.37,5.09,-12.54,3411.55,2502.0,-17.69,55.0,0.99,2826.55,2929.12,2787.74,2,3932.T
4237.T,JP,JPY,379.0,-2.07,21.02,-2.82,-4.27,20.26,20.64,482.58,292.5,-21.46,45.7,0.35,395.9,402.62,344.59,2,4237.T
7282.T,JP,JPY,4022.0,-2.14,1.36,-2.35,-6.19,10.44,60.0,5092.81,2513.81,-21.03,43.8,1.07,4197.8,4422.85,3835.55,2,7282.T
5857.T,JP,JPY,3645.0,-0.55,14.76,3.99,-1.65,59.82,101.1,4624.24,1650.21,-21.18,52.5,0.79,3675.75,3801.86,2835.34,2,5857.T
7887.T,JP,JPY,1993.0,1.68,8.33,-7.39,2.63,33.03,91.51,2434.74,1019.06,-18.14,57.2,0.46,2003.6,2147.89,1668.68,2,7887.T
7988.T,JP,JPY,4516.0,-0.83,-7.25,0.11,-9.35,1.61,31.71,5495.27,3190.06,-17.82,46.2,0.97,4588.6,4754.36,4482.31,2,7988.T
